< e , 0000 >
< r , 00010 >
< c , 0001100 >
< V , 000110100 >
< K , 000110101 >
< L , 00011011 >
< s , 000111 >
< o , 00100 >
< t , 00101 >
< b , 0011000 >
< B , 00110010 >
< S , 00110011 >
< : , 001101 >
< 5 , 00111 >
< / , 01000 >
< ^ , 01001 >
< n , 01010 >
< 3 , 01011 >
< 8 , 01100 >
< a , 01101 >
< 1 , 0111 >
< * , 100 >
< f , 101000 >
< h , 10100100 >
< R , 101001010 >
< T , 101001011 >
< g , 1010011 >
< 0 , 10101 >
< 9 , 1011 >
< p , 110000 >
< d , 110001 >
< 6 , 11001 >
< 2 , 11010 >
< m , 11011000 >
< j , 11011001 >
< y , 11011010 >
< E , 1101101100 >
< v , 1101101101 >
< D , 1101101110 >
< F , 1101101111 >
< k , 110111 >
< 7 , 11100 >
< w , 111010 >
< 4 , 111011 >
< u , 111100 >
< W , 111101000 >
< P , 1111010010 >
< M , 1111010011 >
< O , 1111010100 >
< z , 1111010101 >
< A , 111101011 >
< H , 1111011 >
< l , 111110 >
< i , 111111 >
