< 9 , 0000 >
< 8 , 00010 >
< 2 , 00011 >
< s , 001000 >
< z , 00100100 >
< D , 00100101 >
< b , 00100110 >
< V , 00100111 >
< 4 , 00101 >
< 6 , 0011 >
< r , 01000 >
< ^ , 01001 >
< : , 010100 >
< d , 010101 >
< h , 0101100 >
< y , 01011010 >
< S , 01011011 >
< n , 010111 >
< p , 011000 >
< i , 011001 >
< / , 01101 >
< k , 01110 >
< 7 , 01111 >
< t , 10000 >
< f , 100010 >
< u , 100011 >
< 1 , 1001 >
< * , 101 >
< 3 , 11000 >
< c , 1100100 >
< B , 1100101 >
< w , 110011 >
< a , 11010 >
< o , 11011 >
< 5 , 11100 >
< l , 111010 >
< K , 1110110 >
< H , 1110111 >
< 0 , 11110 >
< e , 11111 >
